#wvn cm-1        wvl um           modulation
2956.14449       3.38278458       0.0153374813      
2956.34449       3.38255573       0.0154495548      
2956.54449       3.38232691       0.0159591127      
2956.74449       3.38209813       0.015459864       
2956.94449       3.38186937       0.0159349624      
2957.14449       3.38164065       0.0160480132      
2957.34449       3.38141195       0.015621646       
2957.54449       3.38118329       0.0155919578      
2957.74449       3.38095465       0.0154358746      
2957.94449       3.38072605       0.0154054046      
2958.14449       3.38049748       0.0154666157      
2958.34449       3.38026894       0.0159551085      
2958.54449       3.38004043       0.0159955808      
2958.74449       3.37981196       0.0159010826      
2958.94449       3.37958351       0.0156459764      
2959.14449       3.37935509       0.0154022712      
2959.34449       3.37912671       0.0156805233      
2959.54449       3.37889835       0.0154344379      
2959.74449       3.37867003       0.0153963794      
2959.94449       3.37844174       0.0157980704      
2960.14449       3.37821347       0.0158954515      
2960.34449       3.37798524       0.0159798052      
2960.54449       3.37775704       0.0157972831      
2960.74449       3.37752887       0.0158743676      
2960.94449       3.37730073       0.0157457645      
2961.14449       3.37707263       0.0157799779      
2961.34449       3.37684455       0.0159471463      
2961.54449       3.3766165        0.0159396374      
2961.74449       3.37638849       0.0159208003      
2961.94449       3.3761605        0.0158192448      
2962.14449       3.37593255       0.0153658757      
2962.34449       3.37570463       0.0154539778      
2962.54449       3.37547673       0.0156033039      
2962.74449       3.37524887       0.0155341307      
2962.94449       3.37502104       0.0158564002      
2963.14449       3.37479324       0.0158627401      
2963.34449       3.37456547       0.0156702254      
2963.54449       3.37433773       0.0156513005      
2963.74449       3.37411003       0.0154741141      
2963.94449       3.37388235       0.0156010637      
2964.14449       3.3736547        0.0156046874      
2964.34449       3.37342709       0.0160033685      
2964.54449       3.3731995        0.0160313663      
2964.74449       3.37297195       0.0153849717      
2964.94449       3.37274443       0.0155157106      
2965.14449       3.37251693       0.0159156199      
2965.34449       3.37228947       0.0153910977      
2965.54449       3.37206204       0.0154881938      
2965.74449       3.37183464       0.0154221135      
2965.94449       3.37160727       0.0154571388      
2966.14449       3.37137993       0.0160696023      
2966.34449       3.37115262       0.0154715583      
2966.54449       3.37092534       0.0156228185      
2966.74449       3.37069809       0.0158891915      
2966.94449       3.37047088       0.0158852617      
2967.14449       3.37024369       0.0155948651      
2967.34449       3.37001654       0.0157728713      
2967.54449       3.36978941       0.0159060746      
2967.74449       3.36956232       0.0159100743      
2967.94449       3.36933525       0.0158146816      
2968.14449       3.36910822       0.0157979676      
2968.34449       3.36888122       0.0154620947      
2968.54449       3.36865425       0.0155787675      
2968.74449       3.3684273        0.0154089345      
2968.94449       3.36820039       0.0158297248      
2969.14449       3.36797351       0.0156319256      
2969.34449       3.36774666       0.0156028423      
2969.54449       3.36751984       0.0160570672      
2969.74449       3.36729306       0.0154196675      
2969.94449       3.3670663        0.0152889836      
2970.14449       3.36683957       0.0154120908      
2970.34449       3.36661287       0.0156729461      
2970.54449       3.36638621       0.0158563235      
2970.74449       3.36615957       0.0155070858      
2970.94449       3.36593297       0.015688449       
